datetime	o2_epil	o2_hypo	o2_total	vol_epil	vol_hypo	vol_total
1987-08-04T00:00:00Z	2393295144414.9424	130841384539.64459	2524136528954.587	298717599.3379893	202368081.88902175	501085681.227011
1987-08-05T00:00:00Z	2461036783490.248	121360781131.77998	2582397564622.028	306738099.1814954	194347582.0455156	501085681.227011
1987-08-06T00:00:00Z	2594868902714.925	108086822195.52104	2702955724910.446	321454219.6680331	179631461.5589779	501085681.227011
1987-08-07T00:00:00Z	2675638597737.6655	98962886669.00249	2774601484406.668	330499876.75863004	170585804.468381	501085681.227011
1987-08-08T00:00:00Z	2722198188861.84	92792942571.09082	2814991131432.9307	335243444.0192191	165842237.20779192	501085681.227011
1987-08-09T00:00:00Z	2918338133971.0117	77493353248.7926	2995831487219.804	356594931.1037383	144490750.12327272	501085681.227011
1987-08-10T00:00:00Z	2867533305220.274	78019307862.23413	2945552613082.508	350443059.87081444	150642621.35619658	501085681.227011
1987-08-11T00:00:00Z	2804530535253.5063	79115931127.15723	2883646466380.6636	343061436.3766157	158024244.85039532	501085681.227011
1987-08-12T00:00:00Z	2953361666780.5557	68188575985.65853	3021550242766.2144	359124883.5161939	141960797.7108171	501085681.227011
1987-08-13T00:00:00Z	3027429377491.207	61878111867.89826	3089307489359.1055	366989889.0949821	134095792.13202894	501085681.227011
1987-08-14T00:00:00Z	3007170962418.11	60826134612.15862	3067997097030.2686	364338048.7138847	136747632.5131263	501085681.227011
1987-08-15T00:00:00Z	3001508594908.3477	59077378948.74037	3060585973857.088	363259567.89273345	137826113.33427757	501085681.227011
1987-08-16T00:00:00Z	2978858952381.0967	58095284601.11412	3036954236982.211	360498321.5417043	140587359.68530673	501085681.227011
1987-08-17T00:00:00Z	2962349911392.113	56759584196.19298	3019109495588.3057	358610896.63913566	142474784.58787537	501085681.227011
1987-08-18T00:00:00Z	2977868016911.624	54014357400.89826	3031882374312.5225	360282924.9365902	140802756.29042083	501085681.227011
1987-08-19T00:00:00Z	3066462421268.3477	48303974955.28369	3114766396223.6313	369879004.43942803	131206676.787583	501085681.227011
1987-08-20T00:00:00Z	3123929693389.7856	44271702650.402916	3168201396040.1885	375831901.0343379	125253780.19267315	501085681.227011
1987-08-21T00:00:00Z	3116803314418.4883	43132769218.54409	3159936083637.032	374310949.57106715	126774731.65594387	501085681.227011
1987-08-22T00:00:00Z	3095433513425.3677	42545449260.29486	3137978962685.6626	371251196.62028384	129834484.60672718	501085681.227011
1987-08-23T00:00:00Z	3143928029494.5747	39455420918.47864	3183383450413.053	375735507.8617061	125350173.36530495	501085681.227011
1987-08-24T00:00:00Z	3252918291258.962	34295535800.549557	3287213827059.511	387150206.87483335	113935474.35217768	501085681.227011
1987-08-25T00:00:00Z	3335570478740.003	30423207984.251163	3365993686724.254	395337024.26394427	105748656.96306676	501085681.227011
1987-08-26T00:00:00Z	3284547106136.686	31212314941.53713	3315759421078.223	388374255.6542835	112711425.5727275	501085681.227011
1987-08-27T00:00:00Z	3326720739653.437	28975040034.221584	3355695779687.6587	391882700.0232499	109202981.2037611	501085681.227011
1987-08-28T00:00:00Z	3339996527242.1943	27588969677.870316	3367585496920.0645	392680736.53980654	108404944.68720448	501085681.227011
1987-08-29T00:00:00Z	3170095416330.416	31500027918.691525	3201595444249.1074	373229774.2976482	127855906.92936283	501085681.227011
1987-08-30T00:00:00Z	3256422510654.5396	28412927162.347412	3284835437816.8867	380790229.3908985	120295451.8361125	501085681.227011
1987-08-31T00:00:00Z	3446557494325.5474	22759600979.899662	3469317095305.4473	399681541.4429364	101404139.7840746	501085681.227011
1987-09-01T00:00:00Z	3479986895771.2026	21195405037.475426	3501182300808.678	402352095.3842817	98733585.84272933	501085681.227011
1987-09-02T00:00:00Z	3561616429834.471	18605941726.69278	3580222371561.164	410060986.60386205	91024694.62314898	501085681.227011
1987-09-03T00:00:00Z	3466894558839.693	20145115129.371933	3487039673969.065	398736274.59288967	102349406.63412136	501085681.227011
1987-09-04T00:00:00Z	3539666950030.351	18047388309.178474	3557714338339.53	404996290.1560968	96089391.07091421	501085681.227011
1987-09-05T00:00:00Z	3691740991513.8926	14411465741.20832	3706152457255.101	419875021.8513169	81210659.3756941	501085681.227011
1987-09-06T00:00:00Z	3743941178911.4883	12885151564.318764	3756826330475.807	424576211.0339545	76509470.19305652	501085681.227011
1987-09-07T00:00:00Z	3582094066876.457	15354047447.880808	3597448114324.338	406604785.7990504	94480895.42796063	501085681.227011
1987-09-08T00:00:00Z	3211954902324.1387	21275738831.680954	3233230641155.82	366632667.1776016	134453014.04940945	501085681.227011
1987-09-09T00:00:00Z	3120215426166.2886	22123416845.039127	3142338843011.3276	356380321.8664087	144705359.36060232	501085681.227011
1987-09-10T00:00:00Z	3175222497795.8145	20467170777.788044	3195689668573.6025	361838621.14168733	139247060.0853237	501085681.227011
1987-09-11T00:00:00Z	3516121865533.178	14364796212.29249	3530486661745.4707	397549768.45582694	103535912.77118409	501085681.227011
1987-09-12T00:00:00Z	3578961443362.034	12914625888.11948	3591876069250.154	403584152.7933558	97501528.4336552	501085681.227011
1987-09-13T00:00:00Z	3643419849710.2856	11509378822.049635	3654929228532.3354	409901739.5761158	91183941.65089524	501085681.227011
1987-09-14T00:00:00Z	3547142263885.094	12376048260.682373	3559518312145.7764	399212649.8394474	101873031.38756365	501085681.227011
1987-09-15T00:00:00Z	3650872358933.819	10567443713.077347	3661439802646.896	409611467.3848722	91474213.84213883	501085681.227011
1987-09-16T00:00:00Z	3517933626777.5103	11806554157.379656	3529740180934.89	395128621.76111066	105957059.46590036	501085681.227011
1987-09-17T00:00:00Z	3818094410946.4897	7747374730.748845	3825841785677.239	426415431.4011226	74670249.8258884	501085681.227011
1987-09-18T00:00:00Z	3782075345808.3154	7824902130.266067	3789900247938.5815	422147513.48728025	78938167.73973078	501085681.227011
1987-09-19T00:00:00Z	3841202667129.7515	6892935061.607339	3848095602191.359	427692881.2016839	73392800.02532715	501085681.227011
1987-09-20T00:00:00Z	3805123658307.9463	6976208093.118886	3812099866401.065	423321942.23492354	77763738.99208748	501085681.227011
1987-09-21T00:00:00Z	3874482372410.09	6055359797.997905	3880537732208.088	429735420.1865169	71350261.04049414	501085681.227011
1987-09-22T00:00:00Z	3898430243615.019	5610583930.469944	3904040827545.489	431403163.17875063	69682518.04826039	501085681.227011
1987-09-23T00:00:00Z	4062797907100.8286	4004851090.3814216	4066802758191.21	447383695.35895765	53701985.86805338	501085681.227011
1987-09-24T00:00:00Z	3937801948456.049	4828783724.129395	3942630732180.178	433615971.190774	67469710.036237	501085681.227011
1987-09-25T00:00:00Z	4063966314922.2427	3645205552.4529724	4067611520474.696	446349746.6507271	54735934.57628393	501085681.227011
1987-09-26T00:00:00Z	4100061117617.059	3246595962.116932	4103307713579.176	449177518.7878264	51908162.439184606	501085681.227011
1987-09-27T00:00:00Z	4110787192393.8984	3064027975.5938983	4113851220369.492	449107073.5778616	51978607.64914942	501085681.227011
1987-09-28T00:00:00Z	4238065031571.6577	2146973657.3165421	4240212005228.974	461248097.48804504	39837583.73896599	501085681.227011
1987-09-29T00:00:00Z	4327727393123.1553	1539582215.059436	4329266975338.215	469575408.33132935	31510272.89568168	501085681.227011
1987-09-30T00:00:00Z	4363518712501.2476	1291882606.5750508	4364810595107.8228	472223889.97248626	28861791.254524767	501085681.227011
1987-10-01T00:00:00Z	4448386346429.969	851630122.2983242	4449237976552.267	479502694.41593814	21582986.811072886	501085681.227011
1987-10-02T00:00:00Z	4622955623704.113	125282838.89917007	4623080906543.013	494476528.8398696	6609152.387141407	501085681.227011
1987-10-03T00:00:00Z	NA	NA	4632944347568.2705	NA	NA	501085681.227011
1987-10-04T00:00:00Z	NA	NA	4650394304673.3955	NA	NA	501085681.227011
1987-10-05T00:00:00Z	NA	NA	4668652860873.914	NA	NA	501085681.227011
1987-10-06T00:00:00Z	NA	NA	4689075916638.89	NA	NA	501085681.227011
1987-10-07T00:00:00Z	NA	NA	4713161071144.002	NA	NA	501085681.227011
1987-10-08T00:00:00Z	NA	NA	4728724876402.305	NA	NA	501085681.227011
1987-10-09T00:00:00Z	NA	NA	4751174839646.246	NA	NA	501085681.227011
1987-10-10T00:00:00Z	NA	NA	4765586795739.215	NA	NA	501085681.227011
1987-10-11T00:00:00Z	NA	NA	4779824022089.851	NA	NA	501085681.227011
1987-10-12T00:00:00Z	NA	NA	4794847849814.523	NA	NA	501085681.227011
1987-10-13T00:00:00Z	NA	NA	4814983433054.718	NA	NA	501085681.227011
1987-10-14T00:00:00Z	NA	NA	4833962604328.428	NA	NA	501085681.227011
1987-10-15T00:00:00Z	NA	NA	4847649990749.028	NA	NA	501085681.227011
1987-10-16T00:00:00Z	NA	NA	4863375923704.788	NA	NA	501085681.227011
1987-10-17T00:00:00Z	NA	NA	4883452657259.472	NA	NA	501085681.227011
1987-10-18T00:00:00Z	NA	NA	4898347290181.24	NA	NA	501085681.227011
1987-10-19T00:00:00Z	NA	NA	4909751456090.182	NA	NA	501085681.227011
1987-10-20T00:00:00Z	NA	NA	4926914327894.005	NA	NA	501085681.227011
1987-10-21T00:00:00Z	NA	NA	4954593381000.428	NA	NA	501085681.227011
1987-10-22T00:00:00Z	NA	NA	4972286968704.676	NA	NA	501085681.227011
1987-10-23T00:00:00Z	NA	NA	4985402391494.688	NA	NA	501085681.227011
1987-10-24T00:00:00Z	NA	NA	5003332629711.072	NA	NA	501085681.227011
1987-10-25T00:00:00Z	NA	NA	5018288495265.93	NA	NA	501085681.227011
1987-10-26T00:00:00Z	NA	NA	5036816805664.023	NA	NA	501085681.227011
1987-10-27T00:00:00Z	NA	NA	5056785786670.041	NA	NA	501085681.227011
1987-10-28T00:00:00Z	NA	NA	5074040460872.063	NA	NA	501085681.227011
1987-10-29T00:00:00Z	NA	NA	5087972619231.991	NA	NA	501085681.227011
1987-10-30T00:00:00Z	NA	NA	5106036040835.328	NA	NA	501085681.227011
1987-10-31T00:00:00Z	NA	NA	5127619597369.806	NA	NA	501085681.227011
1987-11-01T00:00:00Z	NA	NA	5146870448645.719	NA	NA	501085681.227011
1987-11-02T00:00:00Z	NA	NA	5164854325654.626	NA	NA	501085681.227011
1987-11-03T00:00:00Z	NA	NA	5191954256384.277	NA	NA	501085681.227011
1987-11-04T00:00:00Z	NA	NA	5218575344848.468	NA	NA	501085681.227011
1987-11-05T00:00:00Z	NA	NA	5249444672588.396	NA	NA	501085681.227011
1987-11-06T00:00:00Z	NA	NA	5262791366618.053	NA	NA	501085681.227011
1987-11-07T00:00:00Z	NA	NA	5278397907655.606	NA	NA	501085681.227011
1987-11-08T00:00:00Z	NA	NA	5294314867009.591	NA	NA	501085681.227011
1987-11-09T00:00:00Z	NA	NA	5313472729010.906	NA	NA	501085681.227011
1987-11-10T00:00:00Z	NA	NA	5329043045460.544	NA	NA	501085681.227011
1987-11-11T00:00:00Z	NA	NA	5347306678567.64	NA	NA	501085681.227011
1987-11-12T00:00:00Z	NA	NA	5365816148204.399	NA	NA	501085681.227011
1987-11-13T00:00:00Z	NA	NA	5382292501134.0625	NA	NA	501085681.227011
1987-11-14T00:00:00Z	NA	NA	5400683028801.361	NA	NA	501085681.227011
1987-11-15T00:00:00Z	NA	NA	5425834845288.26	NA	NA	501085681.227011
1987-11-16T00:00:00Z	NA	NA	5457752039288.077	NA	NA	501085681.227011
1987-11-17T00:00:00Z	NA	NA	5485144136304.66	NA	NA	501085681.227011
1987-11-18T00:00:00Z	NA	NA	5512252539995.349	NA	NA	501085681.227011
1987-11-19T00:00:00Z	NA	NA	5543495709516.546	NA	NA	501085681.227011
1987-11-20T00:00:00Z	NA	NA	5581287669448.471	NA	NA	501085681.227011
1987-11-21T00:00:00Z	NA	NA	5600754720987.3955	NA	NA	501085681.227011
1987-11-22T00:00:00Z	NA	NA	5626466475849.896	NA	NA	501085681.227011
1987-11-23T00:00:00Z	NA	NA	5651964547638.581	NA	NA	501085681.227011
1987-11-24T00:00:00Z	NA	NA	5670729312144.059	NA	NA	501085681.227011
1987-11-25T00:00:00Z	NA	NA	5696659484017.602	NA	NA	501085681.227011
1987-11-26T00:00:00Z	NA	NA	5715348662960.044	NA	NA	501085681.227011
1987-11-27T00:00:00Z	NA	NA	5736546853959.35	NA	NA	501085681.227011
1987-11-28T00:00:00Z	NA	NA	5763067281472.969	NA	NA	501085681.227011
1987-11-29T00:00:00Z	NA	NA	5776012845675.352	NA	NA	501085681.227011
1987-11-30T00:00:00Z	NA	NA	5796329962604.053	NA	NA	501085681.227011
1987-12-01T00:00:00Z	NA	NA	5815908262586.803	NA	NA	501085681.227011
1987-12-02T00:00:00Z	NA	NA	5827410129116.17	NA	NA	501085681.227011
1987-12-03T00:00:00Z	NA	NA	5842072721758.167	NA	NA	501085681.227011
1987-12-04T00:00:00Z	NA	NA	5857653542969.79	NA	NA	501085681.227011
1987-12-05T00:00:00Z	NA	NA	5866982297362.122	NA	NA	501085681.227011
1987-12-06T00:00:00Z	NA	NA	5880278838454.917	NA	NA	501085681.227011
1987-12-07T00:00:00Z	NA	NA	5893703660718.176	NA	NA	501085681.227011
1987-12-08T00:00:00Z	NA	NA	5903565205397.3125	NA	NA	501085681.227011
1987-12-09T00:00:00Z	NA	NA	5920682801389.525	NA	NA	501085681.227011
1987-12-10T00:00:00Z	NA	NA	5931645783113.152	NA	NA	501085681.227011
1987-12-11T00:00:00Z	NA	NA	5945297129025.0205	NA	NA	501085681.227011
1987-12-12T00:00:00Z	NA	NA	5964756943463.482	NA	NA	501085681.227011
1987-12-13T00:00:00Z	NA	NA	5979410995230.539	NA	NA	501085681.227011
1987-12-14T00:00:00Z	NA	NA	5987700087460.682	NA	NA	501085681.227011
1987-12-15T00:00:00Z	NA	NA	6008966545563.7295	NA	NA	501085681.227011
1987-12-16T00:00:00Z	NA	NA	6026926466155.188	NA	NA	501085681.227011
1987-12-17T00:00:00Z	NA	NA	6035061524401.398	NA	NA	501085681.227011
1987-12-18T00:00:00Z	NA	NA	6046265504786.615	NA	NA	501085681.227011
1987-12-19T00:00:00Z	NA	NA	6053618349106.896	NA	NA	501085681.227011
1987-12-20T00:00:00Z	NA	NA	6063780745840.935	NA	NA	501085681.227011
1987-12-21T00:00:00Z	NA	NA	6073548903655.942	NA	NA	501085681.227011
1987-12-22T00:00:00Z	NA	NA	6080276483848.839	NA	NA	501085681.227011
1987-12-23T00:00:00Z	NA	NA	6086105307275.016	NA	NA	501085681.227011
1987-12-24T00:00:00Z	NA	NA	6092294391309.357	NA	NA	501085681.227011
1987-12-25T00:00:00Z	NA	NA	6099874142340.705	NA	NA	501085681.227011
1987-12-26T00:00:00Z	NA	NA	6105498275411.487	NA	NA	501085681.227011
1987-12-27T00:00:00Z	NA	NA	6110508440385.1875	NA	NA	501085681.227011
1987-12-28T00:00:00Z	NA	NA	6120529840249.297	NA	NA	501085681.227011
1987-12-29T00:00:00Z	NA	NA	6126085568140.542	NA	NA	501085681.227011
1987-12-30T00:00:00Z	NA	NA	6135269554621.425	NA	NA	501085681.227011
1987-12-31T00:00:00Z	NA	NA	6147806464258.188	NA	NA	501085681.227011
1988-01-01T00:00:00Z	NA	NA	6154638268233.168	NA	NA	501085681.227011
1988-01-02T00:00:00Z	NA	NA	6161184691463.597	NA	NA	501085681.227011
1988-01-03T00:00:00Z	NA	NA	6166335876240.007	NA	NA	501085681.227011
1988-01-04T00:00:00Z	NA	NA	6174452492314.597	NA	NA	501085681.227011
1988-01-05T00:00:00Z	NA	NA	6181423733663.501	NA	NA	501085681.227011
